cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,casparam,categorie_1,categorie_2,categorie_3,limite_qualite,limite_qualite_unite,limite_qualite_commentaire,limite_indicative,limite_indicative_unite,valeur_sanitaire_1,valeur_sanitaire_1_unite,valeur_sanitaire_1_commentaire,valeur_sanitaire_2,valeur_sanitaire_2_unite,valeur_sanitaire_2_commentaire,web_label,statut_autorisation,commentaire
FLUAZN,2984,FLUAZINAM,Fluazinam,79622-59-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Fluazinam,,
FLUTO,2985,FLUTOLANIL,Flutolanil,66332-96-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,200,µg/L,Vmax établie par l'Anses en 2020,,,,Flutolanil,,
IMAMOX,2986,IMAZAMOX,Imazamox,114311-32-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,9000,µg/L,Vmax établie par l'Anses en 2017,,,,Imazamox,Autorisé,
METALM,2987,MÉFÉNOXAM,Méfénoxam,70630-17-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,240,µg/L,Vmax établie par l'Anses en 2010,,,,Méfénoxam,,
PCH,2988,PROPAMOCARBE HYDROCHLORIDE,Propamocarbe hydrochloride,25606-41-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Propamocarbe hydrochloride,,
TRIAZ,2990,TRIAZOXIDE,Triazoxide,72459-58-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Triazoxide,,
TRSULFM,2991,TRIFLUSULFURON-METHYL,Triflusulfuron-methyl,126535-15-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Triflusulfuron-methyl,,
TITCNZ,2992,TRITICONAZOLE,Triticonazole,131983-72-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Triticonazole,,
ADET2,3159,ATRAZINE DÉSÉTHYL-2-HYDROXY,Atrazine déséthyl-2-hydroxy,19988-24-0,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Atrazine déséthyl-2-hydroxy,Interdit,
AD2H,3160,ATRAZINE DÉISOPROPYL-2-HYDROXY,Atrazine déisopropyl-2-hydroxy,7313-54-4,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,60,µg/L,Vmax établie par l'Anses en 2016,,,,Atrazine déisopropyl-2-hydroxy,Interdit,
44DCBP,3165,"4,4'-DICHLOROBENZOPHENONE","4,4'-Dichlorobenzophenone",90-98-2,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,"4,4'-Dichlorobenzophenone",,
BCYFLTH,3209,BETACYFLUTHRINE,Betacyfluthrine,68359-37-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Betacyfluthrine,,
DDTS,3268,DDT SOMME,DDT somme,,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,DDT somme,,
CDEPA,3283,"2-CHLORO-N-(2,6-DIETHYLPHENYL)ACETAMIDE","2-Chloro-N-(2,6-diethylphenyl)acetamide",6967-29-9,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,"2-Chloro-N-(2,6-diethylphenyl)acetamide",,
TECNAZ,5413,TECNAZENE,Tecnazene,117-18-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Tecnazene,,
PYMET,5416,PYMÉTROZINE,Pymétrozine,123312-89-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Pymétrozine,,
MIR,5438,MIREX,Mirex,2385-85-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Mirex,,
TSXY,5475,THIOFANOX SULFOXYDE,Thiofanox sulfoxyde,39184-27-5,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Thiofanox sulfoxyde,,
TSON,5476,THIOFANOX SULFONE,Thiofanox sulfone,39184-59-3,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Thiofanox sulfone,,
SITN,5477,SIMÉTRYNE,Simétryne,1014-70-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Simétryne,,
DIPHAM,5478,DIPHENYLAMINE,Diphenylamine,122-39-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Diphenylamine,,
CINOSUL,5481,CINOSULFURON,Cinosulfuron,94593-91-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Cinosulfuron,,
INDOXAC,5483,INDOXACARBE,Indoxacarbe,173584-44-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Indoxacarbe,,
EU,5484,ETHYLUREE (PESTICIDE),Ethyluree (pesticide),625-52-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Ethyluree (pesticide),,
PRIM,5488,PRIMISULFURON MÉTHYL,Primisulfuron méthyl,86209-51-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Primisulfuron méthyl,,
PYRPF,5499,PYRIPROXYFEN,Pyriproxyfen,95737-68-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Pyriproxyfen,,
SFOMTH,5507,SULFOMETHURON-METHYL,Sulfomethuron-methyl,74222-97-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Sulfomethuron-methyl,,
HASULM,5508,HALOSULFURON-METHYL,Halosulfuron-methyl,100784-20-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Halosulfuron-methyl,,
PYFE,5509,PYRAFLUFEN ÉTHYL,Pyraflufen éthyl,129630-19-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Pyraflufen éthyl,,
OXSULFH,5510,OXASULFURON,Oxasulfuron,144651-06-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Oxasulfuron,,
MTFEN,5511,METHOXYFENOSIDE,Methoxyfenoside,161050-58-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Methoxyfenoside,,
BENSULH,5512,BENSULFURON-METHYL,Bensulfuron-methyl,83055-99-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Bensulfuron-methyl,,
CLRMTH,5522,CHLORIMURON-ETHYL,Chlorimuron-ethyl,90982-32-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Chlorimuron-ethyl,,
AMINC,5523,AMINOCARBE,Aminocarbe,2032-59-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Aminocarbe,,
DIFXUR,5524,DIFENOXURON,Difenoxuron,14214-32-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Difenoxuron,,
DICRO,5525,DICROTOPHOS,Dicrotophos,141-66-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Dicrotophos,,
BOSCALI,5526,BOSCALID,Boscalid,188425-85-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,120,µg/L,Vmax établie par l'Anses en 2013,,,,Boscalid,Autorisé,
ETXSUL,5527,ETHOXYSULFURON,Ethoxysulfuron,126801-58-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Ethoxysulfuron,,
ETSN,5528,ETHIOFENCARB SULFONE,Ethiofencarb sulfone,53380-23-7,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Ethiofencarb sulfone,,
ETHAMH,5529,ETHAMETSULFURON-METHYL,Ethametsulfuron-methyl,97780-06-08,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Ethametsulfuron-methyl,,
PIRIDM,5531,DESMETHYL-PIRIMICARB,Desmethyl-pirimicarb,30614-22-3,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Desmethyl-pirimicarb,,
PIFODM,5532,PIRIMICARB FORMAMIDO DESMÉTHYL,Pirimicarb formamido desméthyl,27218-04-08,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Pirimicarb formamido desméthyl,,
MPNI,5533,MÉPANIPYRIM,Mépanipyrim,110235-47-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Mépanipyrim,,
HCHTOT4,5537,HCH ALPHA+BETA+DELTA+GAMMA,HCH alpha+beta+delta+gamma,,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,HCH alpha+beta+delta+gamma,,
BANCOL,5542,BENSULTAP,Bensultap,17606-31-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Bensultap,,
BIFE,5545,BIFENAZATE,Bifenazate,149877-41-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Bifenazate,,
BROD,5546,BRODIFACOUM,Brodifacoum,56073-10-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Brodifacoum,,
CLFSON,5553,CHLORFENSON,Chlorfenson,80-33-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Chlorfenson,,
CLMQ,5554,CHLORMEQUAT,Chlormequat,7003-89-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Chlormequat,Autorisé,
CYAZOF,5567,CYAZOFAMIDE,Cyazofamide,120116-88-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Cyazofamide,,
CYCLOA,5568,CYCLOATE,Cycloate,1134-23-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Cycloate,,
CYHABU,5569,CYHALOFOP BUTYL,Cyhalofop butyl,122008-85-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Cyhalofop butyl,,
ACET,5579,ACÉTAMIPRID,Acétamiprid,135410-20-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Acétamiprid,,
ASM,5581,ACIBENZOLAR S MÉTHYL,Acibenzolar s méthyl,135158-54-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Acibenzolar s méthyl,,
DAMZD,5597,DAMINOZIDE,Daminozide,1596-84-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Daminozide,,
PPCBS,5602,PROPOXYCARBAZONE-SODIUM,Propoxycarbazone-sodium,181274-15-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Propoxycarbazone-sodium,,
PROTHIO,5603,PROTHIOCONAZOLE,Prothioconazole,178928-70-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Prothioconazole,Autorisé,
PYDAP,5606,PYRIDAPHENTHION,Pyridaphenthion,119-12-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Pyridaphenthion,,
SILTF,5609,SILTHIOFAM,Silthiofam,175217-20-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Silthiofam,,
SPINO,5610,SPINOSAD,Spinosad,168316-95-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Spinosad,,
DIPHNM,5614,DIPHENAMIDE,Diphenamide,957-51-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Diphenamide,,
DMTHP,5617,DIMETHENAMIDE-P,Dimethenamide-p,163515-14-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,60,µg/L,Vmax établie par l'Anses en 2017,,,,Dimethenamide-p,Autorisé,
DNOCP,5619,DINOCAP,Dinocap,39300-45-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Dinocap,,
ETOF,5624,ETOFENPROX,Etofenprox,80844-07-01,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Etofenprox,,
ETOXAZ,5625,ETOXAZOLE,Etoxazole,153233-91-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Etoxazole,,
